,score_change_repay,score_change_default,utility_default,potential_score_update_mode,agent,avg_max_unfairness_dp,avg_mean_unfairness_dp,initial_unfairness_dp,avg_max_unfairness_cs,avg_mean_unfairness_cs,initial_unfairness_cs,avg_total_utility,n_traces
346,16,-32,-5,large_var,eqopp,0.2950900319084646,0.2847889249634562,0.26937365293465454,32.3278405795371,30.555468975536836,28.470232739418428,64498.4,10
347,20,-32,-5,large_var,eqopp,0.29742108764298364,0.28591849926891705,0.26937365293465454,32.35705022923041,30.671285035014563,28.470232739418428,64752.6,10
348,8,-40,-5,large_var,eqopp,0.29690996321217006,0.2838410128144021,0.26937365293465454,31.77913586281491,30.195548397141426,28.470232739418428,63218.6,10
349,12,-40,-5,large_var,eqopp,0.29670414128789374,0.28448475717192523,0.26937365293465454,32.17767243886277,30.46248347840296,28.470232739418428,64118.8,10
350,16,-40,-5,large_var,eqopp,0.29780479435475626,0.2857440967500398,0.26937365293465454,32.37447063833149,30.608427768213563,28.470232739418428,64241.7,10
351,20,-40,-5,large_var,eqopp,0.3003696559178074,0.2864673436744658,0.26937365293465454,32.68086457239967,30.820360292759023,28.470232739418428,65637.2,10
352,8,-16,-4,large_var,eqopp,0.29332511214037466,0.28271240017394933,0.26633108583772186,31.28099453977315,29.951137577411465,28.470232739418428,68138.8,10
353,12,-16,-4,large_var,eqopp,0.2970752826002774,0.28418037233340754,0.26633108583772186,31.764238985150733,30.267462665753563,28.470232739418428,67777.3,10
354,16,-16,-4,large_var,eqopp,0.2999313732984984,0.28544555450900755,0.26633108583772186,32.067004151916024,30.44278984806804,28.470232739418428,69210.6,10
355,20,-16,-4,large_var,eqopp,0.30138035474288216,0.28606277501309696,0.26633108583772186,32.104836734772995,30.529913802582097,28.470232739418428,69788.7,10
356,8,-24,-4,large_var,eqopp,0.2994479630422814,0.2861976042771276,0.26633108583772186,31.663869594103897,30.139558877884706,28.470232739418428,67671.4,10
357,12,-24,-4,large_var,eqopp,0.3029543634308194,0.28760624163239246,0.26633108583772186,32.047968024485485,30.40482260367108,28.470232739418428,66419.8,10
358,16,-24,-4,large_var,eqopp,0.30602158281792713,0.28922373915004124,0.26633108583772186,32.41169792023153,30.636524909101922,28.470232739418428,70017.2,10
359,20,-24,-4,large_var,eqopp,0.3054878176359551,0.2885109004658791,0.26633108583772186,32.709991083021954,30.902089804208543,28.470232739418428,70868.3,10
360,8,-32,-4,large_var,eqopp,0.3026706695242794,0.28758943622583244,0.26633108583772186,31.889443426679826,30.28099392384839,28.470232739418428,66714.0,10
361,12,-32,-4,large_var,eqopp,0.3084414520978702,0.29004520592591054,0.26633108583772186,32.38658553239452,30.5883598455011,28.470232739418428,67834.6,10
362,16,-32,-4,large_var,eqopp,0.3084811170785818,0.29018021750659817,0.26633108583772186,32.730778355503595,30.81079927710342,28.470232739418428,69519.7,10
363,20,-32,-4,large_var,eqopp,0.30867861600483715,0.29017390120751163,0.26633108583772186,32.89234082664284,30.961278549715768,28.470232739418428,70970.3,10
364,8,-40,-4,large_var,eqopp,0.3069229205114282,0.29038385137668343,0.26633108583772186,32.018156217014855,30.356140934518162,28.470232739418428,65720.5,10
365,12,-40,-4,large_var,eqopp,0.31041383582070864,0.29087987156890294,0.26633108583772186,32.57138944101008,30.687715213751396,28.470232739418428,69247.5,10
366,16,-40,-4,large_var,eqopp,0.30967940760949214,0.2913374510400403,0.26633108583772186,32.74179009816135,30.801659282887538,28.470232739418428,67373.6,10
367,20,-40,-4,large_var,eqopp,0.3099036185383338,0.29023972671088505,0.26633108583772186,33.00350502657843,31.029636088173355,28.470232739418428,69387.8,10
368,8,-16,-3,large_var,eqopp,0.2990582890321597,0.28527593835389214,0.27094519808067685,31.520388100890347,30.035097258399396,28.470232739418428,71523.6,10
369,12,-16,-3,large_var,eqopp,0.30172018272850865,0.2864503173174267,0.27094519808067685,32.196774502107544,30.467568736888317,28.470232739418428,73698.3,10
370,16,-16,-3,large_var,eqopp,0.3036759107379251,0.2881915544554793,0.27094519808067685,32.54775935665073,30.679635798063043,28.470232739418428,74575.2,10
371,20,-16,-3,large_var,eqopp,0.3026564888895767,0.28824215013656074,0.27094519808067685,32.534506994751055,30.73791366831375,28.470232739418428,73298.5,10
372,8,-24,-3,large_var,eqopp,0.308423636749531,0.29037473111104917,0.27094519808067685,32.087025749620146,30.36041282628313,28.470232739418428,73875.3,10
373,12,-24,-3,large_var,eqopp,0.3081025122394278,0.2915477640334397,0.27094519808067685,32.651243119844246,30.70156071618559,28.470232739418428,74556.9,10
374,16,-24,-3,large_var,eqopp,0.31051170096090314,0.2925661502489102,0.27094519808067685,32.93123337932859,30.870388212923466,28.470232739418428,74989.5,10
375,20,-24,-3,large_var,eqopp,0.31089398723981876,0.2928143140005747,0.27094519808067685,32.99882557134344,30.97002748483306,28.470232739418428,72904.0,10
376,8,-32,-3,large_var,eqopp,0.3121582389742135,0.293721765547056,0.27094519808067685,32.20731486032512,30.42646531906764,28.470232739418428,69925.9,10
377,12,-32,-3,large_var,eqopp,0.312990886741217,0.29420703054926156,0.27094519808067685,32.874323809318824,30.858959094499586,28.470232739418428,72956.3,10
378,16,-32,-3,large_var,eqopp,0.3133840286154926,0.29459583459956484,0.27094519808067685,33.166060709703885,31.05368585227,28.470232739418428,73429.9,10
379,20,-32,-3,large_var,eqopp,0.3129535225052919,0.2950725113502875,0.27094519808067685,33.478957502413344,31.262047157542803,28.470232739418428,75637.6,10
380,8,-40,-3,large_var,eqopp,0.31318438785462716,0.29499387718221987,0.27094519808067685,32.43849955119661,30.551448346237855,28.470232739418428,73228.1,10
381,12,-40,-3,large_var,eqopp,0.31617821472356133,0.2955260965543897,0.27094519808067685,32.90108654562264,30.83555396233149,28.470232739418428,72569.2,10
382,16,-40,-3,large_var,eqopp,0.31561768138495155,0.29610415215895425,0.27094519808067685,33.282009184681534,31.065315857110186,28.470232739418428,73835.0,10
383,20,-40,-3,large_var,eqopp,0.3153223788481251,0.2977095307122603,0.27094519808067685,33.47803599468493,31.236942867178932,28.470232739418428,74002.8,10
384,8,-16,-10,equal,maxprof,0.48181389660395446,0.4791767242304618,0.48181389660395446,31.268459744631592,29.912563364910785,28.470232739418428,53414.9,10
385,12,-16,-10,equal,maxprof,0.48181389660395446,0.47935513347736347,0.48181389660395446,32.417283636997844,30.537684128651783,28.470232739418428,55510.0,10
386,16,-16,-10,equal,maxprof,0.48181389660395446,0.4792866322954665,0.48181389660395446,33.31067909180498,31.073754807271115,28.470232739418428,55872.8,10
387,20,-16,-10,equal,maxprof,0.48181389660395446,0.4793178019538612,0.48181389660395446,33.87499140707591,31.43302114129533,28.470232739418428,56132.8,10
388,8,-24,-10,equal,maxprof,0.48181681930241343,0.47862700495264887,0.48181389660395446,31.222668668612357,29.87203553929438,28.470232739418428,54254.0,10
389,12,-24,-10,equal,maxprof,0.48181389660395446,0.47882958051321267,0.48181389660395446,32.21488379943522,30.437524713839444,28.470232739418428,53259.1,10
390,16,-24,-10,equal,maxprof,0.48181389660395446,0.4787038017460953,0.48181389660395446,33.17600420510316,30.99877269801599,28.470232739418428,56038.4,10
391,20,-24,-10,equal,maxprof,0.48181389660395446,0.47880385715273543,0.48181389660395446,33.780312399088494,31.35628132730273,28.470232739418428,56065.0,10
392,8,-32,-10,equal,maxprof,0.48181389660395446,0.4780667115134093,0.48181389660395446,31.12704616217606,29.826046080150007,28.470232739418428,53789.2,10
393,12,-32,-10,equal,maxprof,0.48181389660395446,0.4782347094311608,0.48181389660395446,32.13062481897632,30.379762055463846,28.470232739418428,53471.2,10
394,16,-32,-10,equal,maxprof,0.48181389660395446,0.47835424382641156,0.48181389660395446,33.02736660859911,30.88296923430343,28.470232739418428,54926.6,10
395,20,-32,-10,equal,maxprof,0.48181389660395446,0.4782981231593769,0.48181389660395446,33.55491903411765,31.223892159452323,28.470232739418428,54220.7,10
396,8,-40,-10,equal,maxprof,0.48181582651697885,0.47717978937950944,0.48181389660395446,30.973817717870617,29.771569223579167,28.470232739418428,52730.9,10
397,12,-40,-10,equal,maxprof,0.48181389660395446,0.47750457432329324,0.48181389660395446,32.05521458037464,30.356024155909864,28.470232739418428,53276.7,10
398,16,-40,-10,equal,maxprof,0.48181389660395446,0.4773965594168737,0.48181389660395446,32.872962285349146,30.820113144125195,28.470232739418428,54242.9,10
399,20,-40,-10,equal,maxprof,0.48181934300938345,0.4776658459098716,0.48181389660395446,33.53478205631608,31.201835968365295,28.470232739418428,54759.1,10
400,8,-16,-9,equal,maxprof,0.48550240979136444,0.4826652765189549,0.48550240979136444,31.277764974991754,29.910323047452458,28.470232739418428,55185.7,10
401,12,-16,-9,equal,maxprof,0.48550240979136444,0.4828444200462396,0.48550240979136444,32.36176287194397,30.504466819001074,28.470232739418428,56468.3,10
402,16,-16,-9,equal,maxprof,0.48550240979136444,0.4829661149148623,0.48550240979136444,33.294592658232,31.065808881057855,28.470232739418428,57635.1,10
403,20,-16,-9,equal,maxprof,0.48550240979136444,0.48290593225065387,0.48550240979136444,33.96677429134378,31.433912192532148,28.470232739418428,58617.8,10
404,8,-24,-9,equal,maxprof,0.48550240979136444,0.4820295418277025,0.48550240979136444,31.1964076495505,29.898184578861105,28.470232739418428,55520.9,10
405,12,-24,-9,equal,maxprof,0.48550240979136444,0.48224792812587414,0.48550240979136444,32.281014040714766,30.453830077783596,28.470232739418428,56480.5,10
406,16,-24,-9,equal,maxprof,0.48550240979136444,0.482366309192167,0.48550240979136444,33.053631547982874,30.919885959374135,28.470232739418428,56337.7,10
407,20,-24,-9,equal,maxprof,0.48550240979136444,0.48242295393197904,0.48550240979136444,33.7725615843663,31.355198899052887,28.470232739418428,57079.2,10
408,8,-32,-9,equal,maxprof,0.48550240979136444,0.4813160892036052,0.48550240979136444,31.13593676210261,29.853574769926816,28.470232739418428,56300.3,10
409,12,-32,-9,equal,maxprof,0.48550240979136444,0.4817766150029753,0.48550240979136444,32.14898637659502,30.399313930487637,28.470232739418428,55698.6,10
410,16,-32,-9,equal,maxprof,0.48550240979136444,0.48175237387168945,0.48550240979136444,33.05899361350008,30.93099475107034,28.470232739418428,57020.7,10
411,20,-32,-9,equal,maxprof,0.48550240979136444,0.48206035012154425,0.48550240979136444,33.55317508679197,31.184105754046307,28.470232739418428,55731.8,10
412,8,-40,-9,equal,maxprof,0.48550240979136444,0.48073731882371373,0.48550240979136444,31.015427334098916,29.78642226117686,28.470232739418428,55282.7,10
413,12,-40,-9,equal,maxprof,0.48550240979136444,0.4810640132450784,0.48550240979136444,32.17648335854735,30.402418968532565,28.470232739418428,57440.8,10
414,16,-40,-9,equal,maxprof,0.48550240979136444,0.48103599488547416,0.48550240979136444,33.02985114491359,30.91795550598072,28.470232739418428,57583.9,10
415,20,-40,-9,equal,maxprof,0.48550240979136444,0.4812849070056552,0.48550240979136444,33.64591689163177,31.285051708738735,28.470232739418428,57803.4,10
416,8,-16,-8,equal,maxprof,0.4951850135918752,0.49216149133582376,0.4951850135918752,31.29251575118557,29.908458030242826,28.470232739418428,57485.5,10
417,12,-16,-8,equal,maxprof,0.4951850135918752,0.49252152752293343,0.4951850135918752,32.4548722481168,30.53051766425032,28.470232739418428,59112.0,10
418,16,-16,-8,equal,maxprof,0.4951850135918752,0.49242610429417955,0.4951850135918752,33.376189742802964,31.097796635919536,28.470232739418428,59765.1,10
419,20,-16,-8,equal,maxprof,0.4951850135918752,0.492482383956159,0.4951850135918752,34.02996195674664,31.417226635505102,28.470232739418428,60193.3,10
420,8,-24,-8,equal,maxprof,0.4951850135918752,0.4914755190179309,0.4951850135918752,31.193493740006925,29.88058804331384,28.470232739418428,57240.6,10
421,12,-24,-8,equal,maxprof,0.4951850135918752,0.4916053866807572,0.4951850135918752,32.36544037647694,30.521773381082674,28.470232739418428,58974.2,10
422,16,-24,-8,equal,maxprof,0.4951850135918752,0.4917217789074198,0.4951850135918752,33.28657815506298,31.042320021604013,28.470232739418428,59761.3,10
423,20,-24,-8,equal,maxprof,0.4951850135918752,0.49170752684583885,0.4951850135918752,34.061419508878856,31.5048166687988,28.470232739418428,61676.0,10
424,8,-32,-8,equal,maxprof,0.4951850135918752,0.49077485431502277,0.4951850135918752,31.094970310292382,29.81705809298402,28.470232739418428,56939.3,10
425,12,-32,-8,equal,maxprof,0.4951850135918752,0.49113071942013126,0.4951850135918752,32.27890557246569,30.42767175917959,28.470232739418428,58854.0,10
426,16,-32,-8,equal,maxprof,0.49518860434987355,0.4913896308525493,0.4951850135918752,33.231012905807475,31.009888328961388,28.470232739418428,60223.2,10
427,20,-32,-8,equal,maxprof,0.4951850135918752,0.4912201575718657,0.4951850135918752,33.94188431467345,31.473590784466825,28.470232739418428,60860.2,10
428,8,-40,-8,equal,maxprof,0.4951850135918752,0.4905210707130333,0.4951850135918752,31.01313715696317,29.764090056586475,28.470232739418428,57120.5,10
429,12,-40,-8,equal,maxprof,0.4951850135918752,0.4907513588851427,0.4951850135918752,32.19889863557957,30.411940515346572,28.470232739418428,59195.4,10
430,16,-40,-8,equal,maxprof,0.4951850135918752,0.49046897734799116,0.4951850135918752,33.122700707599975,30.95509961083754,28.470232739418428,60268.1,10
431,20,-40,-8,equal,maxprof,0.4951850135918752,0.4907847974918161,0.4951850135918752,33.76967567218659,31.294882725991396,28.470232739418428,59459.4,10
432,8,-16,-7,equal,maxprof,0.4939369490691335,0.49109104619618693,0.49392927585370733,31.339372160841286,29.953955109496103,28.470232739418428,60120.9,10
433,12,-16,-7,equal,maxprof,0.49392927585370733,0.49125004412465856,0.49392927585370733,32.4870565827636,30.55906450472225,28.470232739418428,62676.5,10
434,16,-16,-7,equal,maxprof,0.49393821092261847,0.4914563871816882,0.49392927585370733,33.25863506917891,30.990853562425116,28.470232739418428,61215.9,10
435,20,-16,-7,equal,maxprof,0.4939419686541511,0.49104333398015926,0.49392927585370733,34.03824970958214,31.46286510255098,28.470232739418428,63251.9,10
436,8,-24,-7,equal,maxprof,0.49392927585370733,0.49026035620214314,0.49392927585370733,31.31421497216079,29.912611121897054,28.470232739418428,61883.5,10
437,12,-24,-7,equal,maxprof,0.49392927585370733,0.49041056150815726,0.49392927585370733,32.317163019976874,30.482621147905213,28.470232739418428,60741.0,10
438,16,-24,-7,equal,maxprof,0.4939582336048442,0.490425507028855,0.49392927585370733,33.27496406234783,31.02366266577941,28.470232739418428,62327.0,10
439,20,-24,-7,equal,maxprof,0.49392927585370733,0.49060481533189204,0.49392927585370733,34.021707646936115,31.47127169763032,28.470232739418428,62989.7,10
440,8,-32,-7,equal,maxprof,0.49392927585370733,0.48968632156053105,0.49392927585370733,31.12394739378472,29.853940855932468,28.470232739418428,60408.2,10
441,12,-32,-7,equal,maxprof,0.4939609428930975,0.490143492736305,0.49392927585370733,32.15862803313416,30.399475990566202,28.470232739418428,59759.2,10
442,16,-32,-7,equal,maxprof,0.49392927585370733,0.4898175502809548,0.49392927585370733,33.15976933230631,31.000510678440286,28.470232739418428,62196.8,10
443,20,-32,-7,equal,maxprof,0.49393758929975046,0.49010893217747376,0.49392927585370733,33.82507924222589,31.349529836888706,28.470232739418428,61863.3,10
444,8,-40,-7,equal,maxprof,0.49392927585370733,0.4891446696888339,0.49392927585370733,31.089938117346314,29.802969518776628,28.470232739418428,61565.4,10
445,12,-40,-7,equal,maxprof,0.49392927585370733,0.4891496372879359,0.49392927585370733,32.22931586838958,30.46145834952905,28.470232739418428,62358.8,10
446,16,-40,-7,equal,maxprof,0.49392927585370733,0.48943247425594666,0.49392927585370733,33.14158937453287,30.964535933112916,28.470232739418428,63409.4,10
447,20,-40,-7,equal,maxprof,0.49392927585370733,0.489811795995846,0.49392927585370733,33.77031791752658,31.354068867495073,28.470232739418428,62365.2,10
448,8,-16,-6,equal,maxprof,0.48459793590649775,0.48210164953663137,0.48459793590649775,31.23113358770747,29.893322835166988,28.470232739418428,62844.8,10
449,12,-16,-6,equal,maxprof,0.48461156583453124,0.48230273451932726,0.48459793590649775,32.36314908730077,30.47868743949859,28.470232739418428,64730.7,10
450,16,-16,-6,equal,maxprof,0.48459793590649775,0.4822307534671431,0.48459793590649775,33.14637325831599,30.93983258355063,28.470232739418428,64691.5,10
451,20,-16,-6,equal,maxprof,0.4846263276926114,0.4824748487916226,0.48459793590649775,33.87257584832237,31.3203241965006,28.470232739418428,65590.1,10
452,8,-24,-6,equal,maxprof,0.48459793590649775,0.48150156186105314,0.48459793590649775,31.19178142072706,29.84914918341496,28.470232739418428,63540.2,10
453,12,-24,-6,equal,maxprof,0.48459793590649775,0.4817316653739966,0.48459793590649775,32.25832319331964,30.425628236270818,28.470232739418428,64004.3,10
454,16,-24,-6,equal,maxprof,0.4846029740992644,0.4815116905033482,0.48459793590649775,33.20860900549097,31.009369737238842,28.470232739418428,65500.4,10
455,20,-24,-6,equal,maxprof,0.48461357923432286,0.4818287989381343,0.48459793590649775,33.77564026776013,31.311601063457665,28.470232739418428,63997.3,10
456,8,-32,-6,equal,maxprof,0.48459938334126595,0.48111238915195936,0.48459793590649775,31.09513562366398,29.828648277050114,28.470232739418428,63039.7,10
457,12,-32,-6,equal,maxprof,0.4846003204688558,0.48100989619222706,0.48459793590649775,32.1483898280616,30.4076930750983,28.470232739418428,63291.9,10
458,16,-32,-6,equal,maxprof,0.48459793590649775,0.4811346116215958,0.48459793590649775,33.07022153660248,30.935264238142462,28.470232739418428,64685.5,10
459,20,-32,-6,equal,maxprof,0.48459793590649775,0.4809097572491991,0.48459793590649775,33.88297861081637,31.43460962350497,28.470232739418428,67393.8,10
460,8,-40,-6,equal,maxprof,0.48459793590649775,0.4806386473932151,0.48459793590649775,30.974863673955518,29.745045458527137,28.470232739418428,62097.4,10
461,12,-40,-6,equal,maxprof,0.48459793590649775,0.4805583381080301,0.48459793590649775,32.125141934027205,30.406567840086826,28.470232739418428,64295.9,10
462,16,-40,-6,equal,maxprof,0.48459793590649775,0.4807401658361872,0.48459793590649775,32.90811516832058,30.833123526591656,28.470232739418428,64278.7,10
463,20,-40,-6,equal,maxprof,0.4845983070690643,0.48074094518660593,0.48459793590649775,33.659004442817164,31.234461954634657,28.470232739418428,65294.1,10
464,8,-16,-5,equal,maxprof,0.49382330017463466,0.49093352573125537,0.49382330017463466,31.366244628053995,29.95721088999075,28.470232739418428,68262.9,10
465,12,-16,-5,equal,maxprof,0.4938319661754954,0.49112135057357814,0.49382330017463466,32.51335049358554,30.593703781159725,28.470232739418428,69126.5,10
466,16,-16,-5,equal,maxprof,0.49382330017463466,0.49127271426365515,0.49382330017463466,33.29700879740259,31.029515779146816,28.470232739418428,69009.6,10
467,20,-16,-5,equal,maxprof,0.49382330017463466,0.4910527611950859,0.49382330017463466,34.1493053270791,31.531474751387286,28.470232739418428,70643.7,10
468,8,-24,-5,equal,maxprof,0.49382330017463466,0.4900708501228209,0.49382330017463466,31.22168259329747,29.88665490602141,28.470232739418428,67777.6,10
469,12,-24,-5,equal,maxprof,0.49382330017463466,0.4901049391943732,0.49382330017463466,32.35707514663966,30.512554261085096,28.470232739418428,68154.8,10
470,16,-24,-5,equal,maxprof,0.49382330017463466,0.4902709381457438,0.49382330017463466,33.33852062804916,31.04747463040281,28.470232739418428,70170.2,10
471,20,-24,-5,equal,maxprof,0.49382330017463466,0.4902654921021322,0.49382330017463466,33.85073801473078,31.394471825771554,28.470232739418428,68077.8,10
