,hot_spot_discover_rate,non_hot_spot_discover_rate,hot_spot_effect_size,avg_max_unfairness_rln,avg_mean_unfairness_rln,initial_unfairness_rln,avg_utility_mean_discover_rate,avg_utility_total_discover_n,avg_n_correct_hotspot,n_traces
87,0.9,0.35,3,0.29379371940558424,0.16742455105539214,0.007390833830002435,0.7221063350543283,35825.333333333336,16.356666666666666,24
88,0.9,0.3,3,0.30234192379165004,0.17695793752667108,0.007390833830002435,0.7012715563180433,34789.0,16.286666666666665,24
89,0.9,0.25,3,0.31691812277065323,0.20102776599775274,0.007390833830002435,0.6762990428715352,33551.5,16.175,16
90,0.9,0.2,3,0.36557259815012905,0.21909597461404545,0.007390833830002435,0.652215860822525,32358.5,16.049999999999997,16
91,0.85,0.5,3,0.26193745071558483,0.14867983850706606,0.007390833830002435,0.7436992196514937,36891.5,16.471249999999998,16
92,0.85,0.45,3,0.2738383374406936,0.1523679301591148,0.007390833830002435,0.7271738534374572,36072.0,16.474166666666665,24
93,0.85,0.4,3,0.27296027867485345,0.15494287460079392,0.007390833830002435,0.7104171352080545,35240.333333333336,16.4425,24
94,0.85,0.35,3,0.2737920136423636,0.17018238850578996,0.007390833830002435,0.6892783413760258,34195.333333333336,16.352500000000003,24
95,0.85,0.3,3,0.315329370891628,0.1786877622063202,0.007390833830002435,0.6696256151112999,33218.666666666664,16.319166666666668,24
96,0.85,0.25,3,0.3089904022595966,0.20341199573310104,0.007390833830002435,0.6418937914438652,31841.5,16.13375,16
97,0.85,0.2,3,0.3491394700730808,0.22086432575866555,0.007390833830002435,0.6200806694626939,30762.5,16.10875,16
98,0.8,0.5,3,0.2453615437131917,0.14669964915134892,0.007390833830002435,0.7101505900300467,35230.0,16.45125,16
99,0.8,0.45,3,0.26620013242759016,0.15029042947676138,0.007390833830002435,0.6932290342950559,34391.0,16.4375,24
100,0.8,0.4,3,0.2710237114873743,0.15114536738909418,0.007390833830002435,0.6743744527145314,33462.0,16.36875,16
101,0.8,0.35,3,0.2768354040594219,0.1500852124859749,0.007390833830002435,0.6587324470025906,32685.5,16.36625,16
102,0.8,0.3,3,0.30236608174045015,0.15750054678441064,0.007390833830002435,0.638333415445476,31670.0,16.308333333333334,24
103,0.8,0.25,3,0.33715126912195204,0.19841695687468675,0.007390833830002435,0.6132738634842597,30432.0,16.229999999999997,16
104,0.8,0.2,3,0.36041468225195905,0.222983660169281,0.007390833830002435,0.5859367368904427,29069.5,15.99,16
