,model,threshold,n_hosp_mode,n_prescription_mode,avg_max_unfairness_risk,avg_mean_unfairness_risk,initial_unfairness_risk,avg_max_gap_tpr,avg_mean_gap_tpr,initial_gap_tpr,avg_max_gap_fpr,avg_mean_gap_fpr,initial_gap_fpr,avg_max_gap_precision,avg_mean_gap_precision,initial_gap_precision,avg_max_gap_f1,avg_mean_gap_f1,initial_gap_f1,avg_max_gap_accuracy,avg_mean_gap_accuracy,initial_gap_accuracy,avg_utility_tpr,avg_utility_fpr,avg_utility_precision,avg_utility_f1,avg_utility_accuracy,n_traces
31,xgboost,0.5,random_1,expectation,0.033846259117126465,0.01812683418393135,0.0011719241738319397,0.1609039109039109,0.13256070966070965,0.13403263403263396,0.04216894692195161,0.022195966459525856,0.0017892260762002836,0.0649139203538188,0.04761657657648806,0.012569533590072735,0.06891830713354045,0.048067646755765484,0.02376170250128956,0.03707403148918269,0.017619131404799093,0.008983428754459677,0.5894071563088513,0.08832832011343997,0.15809580842168716,0.24105311047671796,0.9042631396657719,10
32,xgboost,0.55,random_1,expectation,0.03401021286845207,0.01812874525785446,0.0011719241738319397,0.17675472675472675,0.14611186221186218,0.12069412069412074,0.04655113080048644,0.022115667860447837,0.0006083638835876135,0.07542353737341054,0.05642736285440294,0.021673963759547443,0.0773155465409758,0.04730621896698152,0.022847293027849325,0.039980709392526716,0.017266974079700632,0.007926553896774435,0.5328482109227872,0.06552266583950016,0.18525700849622978,0.26554225620606187,0.9252442808901202,10
33,xgboost,0.6,random_1,expectation,0.03360571712255478,0.018056992441415787,0.0011719241738319397,0.18205128205128202,0.14903587153587156,0.11098161098161097,0.03989036984043295,0.01613049511714692,0.0011243699627235017,0.08305309716890698,0.05647185486774953,0.017565485362095512,0.07567034963360783,0.0411675949747458,0.030709891612147322,0.03220046129136865,0.012575231892116326,0.008461133055213788,0.4907529190207157,0.04692380910178579,0.2226500443414095,0.2970773146193926,0.9424478396397955,10
34,xgboost,0.7,random_1,expectation,0.031957902014255524,0.01715637743473053,0.0011719241738319397,0.18672623672623673,0.15213421393421395,0.14594664594664594,0.019707949154307132,0.0051566898460450455,0.0009319756449049001,0.08691603888632658,0.03744756830077185,0.012757201646090566,0.0843658894902376,0.0422910022110725,0.08068783068783074,0.011150577605930578,0.006747499844309041,0.009524096891443845,0.41914387947269294,0.02269829396906988,0.31632922977055894,0.3560241450683728,0.9644702138713308,10
35,mlp,0.3,random_1,expectation,0.024243849515914916,0.01406439871639013,0.0038971900939941406,0.10637140637140638,0.0498036519036519,0.09764309764309764,0.02905562940212404,0.010925223631337284,0.00702160260974985,0.0253285617903245,0.017986140684308517,0.018687121571588222,0.036186026968926796,0.027992958943803787,0.016371290415186424,0.026142209480515488,0.01162122296290058,0.01178145004140807,0.7438538606403013,0.2608622236008331,0.07311800146687394,0.1306668354290838,0.7392461944757123,10
36,mlp,0.4,random_1,expectation,0.025828465819358826,0.014756308963894843,0.0038971900939941406,0.11756021756021753,0.07693351463351464,0.10670810670810671,0.01734253551284375,0.010389816925991623,0.011650355203486576,0.02175569274151632,0.014474802669684478,0.006097146263497555,0.03122202653761654,0.021123780391012998,0.022181710264128573,0.01867878118182492,0.013323477693569683,0.01741951259595642,0.6630369114877589,0.17456334470687285,0.09883375012036459,0.16684269117546202,0.8217032470343753,10
37,mlp,0.45,random_1,expectation,0.025711750984191893,0.014946423068642616,0.0038971900939941406,0.1207977207977208,0.07947757057757057,0.10800310800310797,0.017053665169423766,0.012096435459582578,0.009601056312270017,0.019449011601261022,0.012927885156716126,0.010808893093661315,0.03559872335714122,0.019907611038853457,0.03120518203954742,0.02018098343273341,0.015753716962694515,0.01577200681941482,0.6205193973634651,0.13658557185270526,0.11706210339669273,0.190126539608911,0.8578305134643692,10
38,mlp,0.5,random_1,expectation,0.025955045223236085,0.01466274951249361,0.0038971900939941406,0.12725977725977727,0.09575687645687646,0.10204610204610198,0.012213650121682252,0.007711163544018042,0.009838764492575588,0.031149966114088067,0.014608082876564182,0.02926161586268128,0.053433910983755786,0.02187341899550649,0.05051664753157292,0.01818290320929562,0.01265808123203789,0.016443301632262264,0.5608949152542373,0.10302425665795187,0.1370237092684667,0.21162092521343054,0.8892495800502207,10
39,mlp,0.55,random_1,expectation,0.02589343786239624,0.014742789134383202,0.0038971900939941406,0.11248381248381249,0.08864524734524734,0.09052059052059054,0.014490177967508951,0.01086522130244491,0.007290523319812378,0.03759390493286484,0.014706179896706306,0.03017902813299228,0.05903413417915537,0.023525751813785183,0.05202434028196157,0.019732808989888495,0.016469734391521444,0.014043626144675248,0.4978161958568738,0.0648293791819914,0.17868384037433024,0.2530848929900997,0.925116278465668,10
40,mlp,0.6,random_1,expectation,0.025342806027485773,0.014472183465957642,0.0038971900939941406,0.11262526647142031,0.08864248002709542,0.07264957264957264,0.016130087611054608,0.011132318612652002,0.005783703093713903,0.055126515843691846,0.025497710965395975,0.04361830815539991,0.07004562717124138,0.040642790668459154,0.057949374288964774,0.021872652041991385,0.017545316420540774,0.012744292381415723,0.431507750253513,0.03837418831445507,0.23310332163338693,0.29308522720278213,0.9494389257811199,13
41,mlp,0.7,random_1,expectation,0.025874519348144533,0.014705984030663968,0.0038971900939941406,0.09435379435379436,0.07162292152292152,0.06190106190106193,0.01370020076821849,0.00818603723478632,0.0036990995212814793,0.08192913406285689,0.052292043841173017,0.06643356643356642,0.08487075827086991,0.06053737742390443,0.06633235047241896,0.020218635626299962,0.015202074493889833,0.011333081173258153,0.3459080979284369,0.019112048566490892,0.31417173649804264,0.3225635488335973,0.9662903974370076,10
42,xgboost,0.3,random_2,expectation,0.03369494527578354,0.0183228962123394,0.0011719241738319397,0.11381766381766385,0.07441383061383063,0.10334110334110336,0.045063607675485756,0.029321267887560315,0.004772349190393904,0.03984844727892254,0.030161450370536823,0.036744219596716754,0.05460280981867508,0.04658212044840705,0.04128730900166255,0.043979861577623,0.026708479782812766,1.127365334552266e-05,0.7515359698681733,0.22267518057340366,0.08107424207553401,0.14453680806579866,0.776731959477011,10
